config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p1_duration;3;j6010_1;154;154;1;60.25;83.7;0.0
p1_duration;3;j6010_10;134;154;1;60.29;84.15;14.93
p1_duration;3;j6010_2;124;133;1;60.34;89.27;7.26
p1_duration;3;j6010_3;132;147;1;60.29;86.23;11.36
p1_duration;3;j6010_4;146;161;1;60.42;84.72;10.27
p1_duration;3;j6010_5;144;147;1;60.16;90.31;2.08
p1_duration;3;j6010_6;126;140;1;60.21;83.47;11.11
p1_duration;3;j6010_7;127;133;1;60.19;85.82;4.72
p1_duration;3;j6010_8;116;126;1;60.19;81.05;8.62
p1_duration;3;j6010_9;152;168;1;60.21;87.34;10.53
