config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p1_res_joint;1;j6010_1;154;154;1;60.19;78.41;0.0
p1_res_joint;1;j6010_10;134;154;1;60.16;78.81;14.93
p1_res_joint;1;j6010_2;124;133;1;60.15;84.71;7.26
p1_res_joint;1;j6010_3;132;147;1;60.37;85.72;11.36
p1_res_joint;1;j6010_4;146;161;1;60.24;83.1;10.27
p1_res_joint;1;j6010_5;144;147;1;180.85;214.88;2.08
p1_res_joint;1;j6010_6;126;140;1;60.18;82.97;11.11
p1_res_joint;1;j6010_7;127;133;1;60.18;86.49;4.72
p1_res_joint;1;j6010_8;116;126;1;60.15;81.07;8.62
p1_res_joint;1;j6010_9;152;168;1;60.17;88.03;10.53
