config;instance;n_jobs;T_max;T_agg;ssgs_obj;obj;feas;rt_sec;wall_sec;n_groups;iters;gap_pct
no_urgency;j6010_1;62;323;47;154;154;1;45.32;58.16;1;1;0.0
no_urgency;j6010_10;62;319;46;134;154;1;60.14;76.7;1;1;14.93
no_urgency;j6010_2;62;353;51;124;133;1;60.14;79.92;1;1;7.26
no_urgency;j6010_3;62;353;51;132;147;1;36.53;57.19;1;1;11.36
no_urgency;j6010_4;62;330;48;146;161;1;60.13;80.17;1;1;10.27
no_urgency;j6010_5;62;377;54;144;147;1;60.18;86.39;1;1;2.08
no_urgency;j6010_6;62;322;46;126;140;1;53.06;71.64;1;1;11.11
no_urgency;j6010_7;62;346;50;127;133;1;58.03;79.74;1;1;4.72
no_urgency;j6010_8;62;303;44;116;126;1;60.16;77.69;1;1;8.62
no_urgency;j6010_9;62;358;52;152;168;1;57.93;81.12;1;1;10.53
