config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p1_timing;4;j6010_1;154;154;1;60.21;84.56;0.0
p1_timing;4;j6010_10;134;154;1;60.38;83.72;14.93
p1_timing;4;j6010_2;124;133;1;60.16;88.3;7.26
p1_timing;4;j6010_3;132;147;1;60.27;90.42;11.36
p1_timing;4;j6010_4;146;161;1;60.23;85.41;10.27
p1_timing;4;j6010_5;144;147;1;60.16;90.23;2.08
p1_timing;4;j6010_6;126;140;1;60.16;83.82;11.11
p1_timing;4;j6010_7;127;133;1;60.18;85.89;4.72
p1_timing;4;j6010_8;116;126;1;60.14;81.21;8.62
p1_timing;4;j6010_9;152;168;1;60.24;87.7;10.53
