config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p3_all_struct;18;j6010_1;154;154;1;57.41;86.58;0.0
p3_all_struct;18;j6010_10;134;154;1;30.64;57.95;14.93
p3_all_struct;18;j6010_2;124;133;0;562.42;601.82;7.26
p3_all_struct;18;j6010_3;132;147;1;36.96;63.22;11.36
p3_all_struct;18;j6010_4;146;161;1;38.63;61.87;10.27
p3_all_struct;18;j6010_5;144;147;1;60.68;88.43;2.08
p3_all_struct;18;j6010_6;126;140;1;60.19;82.04;11.11
p3_all_struct;18;j6010_7;127;133;1;48.19;72.95;4.72
p3_all_struct;18;j6010_8;116;126;1;44.87;63.99;8.62
p3_all_struct;18;j6010_9;152;168;1;44.67;66.32;10.53
