config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p2_net4+res_iqr;8;j6010_1;154;154;1;48.47;72.03;0.0
p2_net4+res_iqr;8;j6010_10;134;154;1;41.36;64.84;14.93
p2_net4+res_iqr;8;j6010_2;124;133;1;60.29;87.39;7.26
p2_net4+res_iqr;8;j6010_3;132;147;0;564.46;602.47;11.36
p2_net4+res_iqr;8;j6010_4;146;161;1;47.7;78.34;10.27
p2_net4+res_iqr;8;j6010_5;144;147;1;60.22;92.88;2.08
p2_net4+res_iqr;8;j6010_6;126;140;1;48.15;73.54;11.11
p2_net4+res_iqr;8;j6010_7;127;133;1;60.2;90.15;4.72
p2_net4+res_iqr;8;j6010_8;116;126;1;60.18;91.36;8.62
p2_net4+res_iqr;8;j6010_9;152;168;1;52.15;82.97;10.53
