config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p2_net4+res_mean;8;j6010_1;154;154;1;60.22;84.43;0.0
p2_net4+res_mean;8;j6010_10;134;154;1;60.2;84.02;14.93
p2_net4+res_mean;8;j6010_2;124;133;1;60.21;87.4;7.26
p2_net4+res_mean;8;j6010_3;132;147;1;60.7;92.22;11.36
p2_net4+res_mean;8;j6010_4;146;161;1;60.25;88.94;10.27
p2_net4+res_mean;8;j6010_5;144;147;1;60.31;94.58;2.08
p2_net4+res_mean;8;j6010_6;126;140;1;60.4;85.26;11.11
p2_net4+res_mean;8;j6010_7;127;133;1;60.41;92.65;4.72
p2_net4+res_mean;8;j6010_8;116;126;1;60.24;87.91;8.62
p2_net4+res_mean;8;j6010_9;152;168;1;60.23;94.26;10.53
