config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p3_all_50;50;j6010_1;154;154;1;45.2;59.07;0.0
p3_all_50;50;j6010_10;134;154;1;58.83;71.72;14.93
p3_all_50;50;j6010_2;124;133;1;58.6;73.77;7.26
p3_all_50;50;j6010_3;132;147;1;60.24;73.17;11.36
p3_all_50;50;j6010_4;146;161;1;53.58;65.33;10.27
p3_all_50;50;j6010_5;144;147;1;49.0;62.77;2.08
p3_all_50;50;j6010_6;126;140;1;45.43;56.2;11.11
p3_all_50;50;j6010_7;127;133;1;60.13;72.37;4.72
p3_all_50;50;j6010_8;116;126;1;60.08;70.2;8.62
p3_all_50;50;j6010_9;152;168;1;45.32;58.26;10.53
