config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p1_res_mean;4;j6010_1;154;154;1;57.96;81.5;0.0
p1_res_mean;4;j6010_10;134;154;1;52.62;76.55;14.93
p1_res_mean;4;j6010_2;124;133;1;60.19;87.99;7.26
p1_res_mean;4;j6010_3;132;147;1;60.23;86.73;11.36
p1_res_mean;4;j6010_4;146;161;1;60.19;84.22;10.27
p1_res_mean;4;j6010_5;144;147;1;60.2;90.46;2.08
p1_res_mean;4;j6010_6;126;140;1;48.35;70.85;11.11
p1_res_mean;4;j6010_7;127;133;1;52.39;79.18;4.72
p1_res_mean;4;j6010_8;116;126;1;48.43;69.63;8.62
p1_res_mean;4;j6010_9;152;168;1;60.19;87.9;10.53
