config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p2_net4+net_ext;7;j6010_1;154;154;1;60.23;85.01;0.0
p2_net4+net_ext;7;j6010_10;134;154;1;60.21;86.3;14.93
p2_net4+net_ext;7;j6010_2;124;133;1;120.57;155.96;7.26
p2_net4+net_ext;7;j6010_3;132;147;1;61.11;97.07;11.36
p2_net4+net_ext;7;j6010_4;146;161;1;60.18;88.92;10.27
p2_net4+net_ext;7;j6010_5;144;147;1;60.21;95.6;2.08
p2_net4+net_ext;7;j6010_6;126;140;1;60.33;86.77;11.11
p2_net4+net_ext;7;j6010_7;127;133;1;60.34;91.07;4.72
p2_net4+net_ext;7;j6010_8;116;126;1;60.15;85.91;8.62
p2_net4+net_ext;7;j6010_9;152;168;1;120.74;161.27;10.53
