config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p2_net4+urgency;7;j6010_1;154;154;1;57.44;85.12;0.0
p2_net4+urgency;7;j6010_10;134;154;1;53.07;78.34;14.93
p2_net4+urgency;7;j6010_2;124;133;1;60.24;95.76;7.26
p2_net4+urgency;7;j6010_3;132;147;1;56.49;94.04;11.36
p2_net4+urgency;7;j6010_4;146;161;1;60.26;87.9;10.27
p2_net4+urgency;7;j6010_5;144;147;1;60.69;92.95;2.08
p2_net4+urgency;7;j6010_6;126;140;1;60.14;87.15;11.11
p2_net4+urgency;7;j6010_7;127;133;1;60.26;96.78;4.72
p2_net4+urgency;7;j6010_8;116;126;1;48.48;71.07;8.62
p2_net4+urgency;7;j6010_9;152;168;1;42.22;71.52;10.53
