config;n_feats;instance;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
p1_res_range;4;j6010_1;154;154;1;60.19;88.5;0.0
p1_res_range;4;j6010_10;134;154;1;48.09;75.89;14.93
p1_res_range;4;j6010_2;124;133;1;57.97;88.45;7.26
p1_res_range;4;j6010_3;132;147;1;60.89;94.63;11.36
p1_res_range;4;j6010_4;146;161;1;57.0;89.84;10.27
p1_res_range;4;j6010_5;144;147;1;60.2;92.51;2.08
p1_res_range;4;j6010_6;126;140;1;52.54;78.47;11.11
p1_res_range;4;j6010_7;127;133;1;62.25;97.38;4.72
p1_res_range;4;j6010_8;116;126;1;57.08;88.23;8.62
p1_res_range;4;j6010_9;152;168;1;47.74;77.46;10.53
