config;instance;n_jobs;T_max;T_agg;ssgs_obj;obj;feas;rt_sec;wall_sec;n_groups;iters;gap_pct
no_network;j6010_1;62;323;47;154;154;1;60.15;73.04;1;1;0.0
no_network;j6010_10;62;319;46;134;154;1;60.14;75.14;1;1;14.93
no_network;j6010_2;62;353;51;124;133;1;60.16;79.14;1;1;7.26
no_network;j6010_3;62;353;51;132;147;1;60.19;79.52;1;1;11.36
no_network;j6010_4;62;330;48;146;161;1;60.16;79.94;1;1;10.27
no_network;j6010_5;62;377;54;144;147;1;60.53;82.73;1;1;2.08
no_network;j6010_6;62;322;46;126;140;1;58.5;75.54;1;1;11.11
no_network;j6010_7;62;346;50;127;133;1;60.16;80.79;1;1;4.72
no_network;j6010_8;62;303;44;116;126;1;53.15;70.51;1;1;8.62
no_network;j6010_9;62;358;52;152;168;1;60.18;82.67;1;1;10.53
